id,name,category_id,address,rating,location,Image_url
place_b3190e62302c,Masjid Raya Baiturrahman,cat_QCJZ9eD5PbAbDlv4,"Jl. Moh. Jam No.1, Kp. Baru, Kec. Baiturrahman, Kota Banda Aceh, Aceh",3.7,"[5.553752122217011, 95.31754037943787]",https://1.bp.blogspot.com/-qbonHJyuOHc/Wu3WwJk6oyI/AAAAAAAAABs/UK3mm45Zuvcv-EgGeASc2nyuC_8EE9QowCLcBGAs/s1600/masjid-ureung-atjeh.jpg
place_e9f6a2931bb4,Makam Sultan Iskandar Muda,cat_NWLlqpq6cnjunZ5X,"G8WC+W8F, Gp. Peuniti, Baiturrahman, Peuniti, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",3.8,"[5.54743931609552, 95.32112948872202]",https://www.rmolaceh.id/uploads/images/2024/12/image_750x_674fecbf57ea0.jpg
place_1e5e153f4928,PLTD Apung,cat_NWLlqpq6cnjunZ5X,"Punge Blang Cut, Kec. Jaya Baru, Kota Banda Aceh, Aceh 23116",3.4,"[5.546545973519038, 95.30726317707921]",https://cdn.wisata.app/diary/738c5f61-9bd1-4157-87b6-2e649a614525_sm.jpg
place_91fa38398536,Museum Tsunami Aceh,cat_NWLlqpq6cnjunZ5X,"Jl. Sultan Iskandar Muda No.3, Sukaramai, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",3.2,"[5.5477449301895865, 95.31532956967912]",https://asset.kompas.com/crops/0V7HdeakcQO7aY1Y1mYQIbvldaA=/40x0:657x411/750x500/data/photo/2024/01/24/65b110e937363.jpg
place_fc4640fe4124,Museum Negeri Aceh,cat_NWLlqpq6cnjunZ5X,"Jl. Sultan Mahmudsyah No.10, Peuniti, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",3.4,"[5.5487096943622305, 95.32136309057205]",https://blogger.googleusercontent.com/img/a/AVvXsEiBIFbcc6l68t27K95DDvGTMtT-n2JU93VmgQSrTk1GUSr5Z7oD4YllyzTiKqbbxOlxEp71_-Pfh5aFVawloqQlizGzWrtanw7TdfCwjorDKBdHB0Q00dIHvlEsqhJbJDLug3hFNzwKBGij-vaS3DGotjUuNYjitY3szc0DHZwKQCPt240RiwXDppOFoP2f=s16000-rw
place_59afa1b32163,Pelabuhan ulee lheue,cat_QCJZ9eD5PbAbDlv4,"Jalan Sabang, Ulee Lheue, Ulee Lheue, Meuraxa, Kota Banda Aceh, Aceh 23116",4.1,"[5.564874158646177, 95.29381565979757]",https://img.antarafoto.com/cache/1200x763/2017/11/21/pelabuhan-ulee-lheu-dangkal-fyub-dom.webp
place_01227eb7cfc5,Masjid Baiturrahim Ulee Lheue,cat_QCJZ9eD5PbAbDlv4,"H74M+8M7, Gp., Ulee Lheue, Meuraxa, Ulee Lheue, Banda Aceh, Kota Banda Aceh, Aceh 23232",4.4,"[5.555831908178078, 95.28474269427208]",https://indonesiakaya.com/wp-content/uploads/2020/10/1367_thumb_1._Masjid_Baiturrahim_merupakan_tempat_wisata_ziarah_tsunami_sekaligus_tujuan_wisata_cat_LgHRkZdANPDP6ttv.jpg
place_0e59bb6b1da2,Makam Raja Aceh,cat_NWLlqpq6cnjunZ5X,"No., Jl. Sultan Mahmudsyah No.10, Peuniti, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",3.4,"[5.551250868857495, 95.32417416685948]",https://acehtourism.travel/wp-content/uploads/2019/07/makam-raja-bugis-3.jpeg
place_4e988811362d,Makam Syiah Kuala,cat_NWLlqpq6cnjunZ5X,"H8RH+X56, Gp. Deah Raya, Syiah Kuala, Deah Raya, Kec. Syiah Kuala, Kota Banda Aceh, Aceh",3.9,"[5.5926793385765, 95.32879891703853]",https://www.glory-travel.com/wp-content/uploads/2018/01/makam-syiah-kuala.jpg
place_60362175146f,Makam Sultan Iskandar Muda,cat_NWLlqpq6cnjunZ5X,"G8WC+W8F, Gp. Peuniti, Baiturrahman, Peuniti, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",4.4,"[5.547385232519362, 95.32163032687104]",https://www.glory-travel.com/wp-content/uploads/2018/09/MSIM-2.jpg
place_a4f5da7615b1,Pantai Ulee Lheu,cat_LgHRkZdANPDP6ttv,"H75P+W42, Ulee Lheue, Kec. Meuraxa, Kota Banda Aceh, Aceh",3.5,"[5.560051194122009, 95.28569818242046]",https://www.itrip.id/wp-content/uploads/2022/04/Pantai-Ulee-Lheue-Aceh.jpg
place_6cb64e955a28,Pantai Lampuuk,cat_LgHRkZdANPDP6ttv,"Desa Meunasah, Kecamatan Lhoknga, Kabupaten Aceh Besar, Provinsi Aceh",4.2,"[5.485601035376011, 95.22642488770776]",https://static.readers.id/files/images/20231127-pantai-lampuuk.jpg
place_0db50aa4ca5c,Pantai Lhoknga,cat_LgHRkZdANPDP6ttv,"Desa Mon Ikeun, Kecamatan Lhoknga, Kabupaten Aceh Besar, Provinsi Aceh",3.6,"[5.465020329720082, 95.24169549871881]",https://pariwisataindonesia.id/wp-content/uploads/2023/08/PariwisataIndonesia-Foto-Menikmati-Indahnya-Pesona-Pantai-Lhoknga-di-Aceh-Indonesia-1024x642.png
place_b2fc2e233ac7,Pantai Alue Naga,cat_LgHRkZdANPDP6ttv,"Andaman Sea, Alue Naga, Kec. Syiah Kuala, Kota Banda Aceh, Aceh",4.5,"[5.605170052838866, 95.34534147748674]",https://wisato.id/wp-content/uploads/2022/02/Pantai-Alue-Naga-scaled.jpg
place_80133a6e370a,Pantai pasir Putih Lhok Me,cat_LgHRkZdANPDP6ttv,"Lamreh, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh",4.1,"[5.6177484205989385, 95.55109739923815]",https://media-cdn.tripadvisor.com/media/photo-s/0c/74/db/c3/hamparan-pemandangan.jpg
place_f5803d2a1dd1,Taman Putroe Phang,cat_oAsRjVBqyzml-tBA,"Jl. Merapi No.37, Sukaramai, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",3.3,"[5.546170957789547, 95.31681239962047]",https://indonesiakaya.com/wp-content/uploads/2020/10/Pinto_Khop_dahulu_merupakan_gerbang_penghubung_taman_Ghairah_dengan_Istana.jpg
place_50bc8b92d8de,Taman Ratu Safiatuddin,cat_oAsRjVBqyzml-tBA,"Kec. Kuta cat_LgHRkZdANPDP6ttv, Kota Banda Aceh, Aceh",3.9,"[5.5694660619400915, 95.3369112175472]",https://www.tempatwisata.pro/media/uploads/3066/ddc57fae78087187d3922c23128b727f.jpg
place_080fe3383637,Monumen Pesawat R. I,cat_NWLlqpq6cnjunZ5X,"Jl. Medan - Banda Aceh, Aneuk Galong Titi, Kec. SukaMakmur, Kabupaten Aceh Besar, Aceh 23361",4.4,"[5.474646443626123, 95.39358484350943]",https://asset.kompas.com/crops/_SXZImvzH3dYNG-qQ6nwRDxexOk=/0x0:1022x681/1200x800/data/photo/2020/01/24/5e2b12bd68e2f.jpg
